image_id,width,height,file_name,license,time_captured,original_url,isstatic,kaggle_id,filepath,num_garments
10126,1024,682,8907d5855ac5c960d3ff088c9511c265.jpg,7,"March-August, 2018",https://unsplash.com,0,8907d5855ac5c960d3ff088c9511c265,/kaggle/working/data/images/8907d5855ac5c960d3ff088c9511c265.jpg,7
17498,683,1024,a1a2e752dd7bb4b074519cee829e0788.jpg,5,"March-August, 2018",http://farm9.staticflickr.com/8721/16404787083_d427a9da58_n.jpg,1,a1a2e752dd7bb4b074519cee829e0788,/kaggle/working/data/images/a1a2e752dd7bb4b074519cee829e0788.jpg,6
12066,683,1024,5650537fae8169e08015856afef0a50b.jpg,5,"March-August, 2018",http://farm1.staticflickr.com/498/19299159980_8883a58943_n.jpg,1,5650537fae8169e08015856afef0a50b,/kaggle/working/data/images/5650537fae8169e08015856afef0a50b.jpg,8
19330,683,1024,1e948adc21b8b29c3a2d0fc43c81726e.jpg,5,"March-August, 2018",http://farm1.staticflickr.com/579/23167177853_8016151f8e_n.jpg,1,1e948adc21b8b29c3a2d0fc43c81726e,/kaggle/working/data/images/1e948adc21b8b29c3a2d0fc43c81726e.jpg,11
9781,682,1024,d4e314e36f1e4988c90c1e6bbfcbb22c.jpg,5,"March-August, 2018",http://farm2.staticflickr.com/1685/24430291293_0a37181754_n.jpg,1,d4e314e36f1e4988c90c1e6bbfcbb22c,/kaggle/working/data/images/d4e314e36f1e4988c90c1e6bbfcbb22c.jpg,9
19438,682,1024,7f7a1df7ac9c8a5ef260419d53b2b983.jpg,0,"March-August, 2018",http://farm2.staticflickr.com/1652/24585145196_2b46ed40e1_n.jpg,1,7f7a1df7ac9c8a5ef260419d53b2b983,/kaggle/working/data/images/7f7a1df7ac9c8a5ef260419d53b2b983.jpg,9
13405,684,1024,039a3556c8cc07e37bbda278037b99e6.jpg,4,"March-August, 2018",http://farm6.staticflickr.com/5446/30015547013_2cfd5a6e59_n.jpg,1,039a3556c8cc07e37bbda278037b99e6,/kaggle/working/data/images/039a3556c8cc07e37bbda278037b99e6.jpg,4
18976,1024,775,7f6924ad6958d10a77bdf3b348ad18a0.jpg,4,"March-August, 2018",http://farm4.staticflickr.com/3454/3306014524_b53525fd00_m.jpg,1,7f6924ad6958d10a77bdf3b348ad18a0,/kaggle/working/data/images/7f6924ad6958d10a77bdf3b348ad18a0.jpg,5
12292,682,1024,2e8241d9f3fb130d4f1f60704b6740f0.jpg,3,"March-August, 2018",http://farm1.staticflickr.com/952/28169119798_fbe956e72a_n.jpg,1,2e8241d9f3fb130d4f1f60704b6740f0,/kaggle/working/data/images/2e8241d9f3fb130d4f1f60704b6740f0.jpg,6
10920,679,1024,1855cc8560dfe0949b65ae39a798007c.jpg,4,"March-August, 2018",http://farm4.staticflickr.com/3154/3042141531_637a0a84b5_m.jpg,1,1855cc8560dfe0949b65ae39a798007c,/kaggle/working/data/images/1855cc8560dfe0949b65ae39a798007c.jpg,7
10830,681,1024,ccbc132e29e4527f7a2933219491def1.jpg,5,"March-August, 2018",http://farm8.staticflickr.com/7082/6878974758_b5dbeba394_n.jpg,1,ccbc132e29e4527f7a2933219491def1,/kaggle/working/data/images/ccbc132e29e4527f7a2933219491def1.jpg,7
19392,1024,745,ddec8f58a4b0651c76ec4aa45f0ef583.jpg,7,"March-August, 2018",https://unsplash.com,0,ddec8f58a4b0651c76ec4aa45f0ef583,/kaggle/working/data/images/ddec8f58a4b0651c76ec4aa45f0ef583.jpg,6
9712,682,1024,1428286b35afc347becfb7e5dd25d03d.jpg,7,"March-August, 2018",https://unsplash.com,0,1428286b35afc347becfb7e5dd25d03d,/kaggle/working/data/images/1428286b35afc347becfb7e5dd25d03d.jpg,9
17358,621,1024,b21b45507272695ea242ad78d56afd42.jpg,1,"March-August, 2018",http://farm3.staticflickr.com/2930/14381126376_d70349f037_n.jpg,1,b21b45507272695ea242ad78d56afd42,/kaggle/working/data/images/b21b45507272695ea242ad78d56afd42.jpg,9
17297,1024,575,42e993fe27bf6cd76d997ea2b61076c6.jpg,7,"March-August, 2018",https://unsplash.com,0,42e993fe27bf6cd76d997ea2b61076c6,/kaggle/working/data/images/42e993fe27bf6cd76d997ea2b61076c6.jpg,12
12604,682,1024,c28ed8785147e6da91f8337c852e0eda.jpg,7,"March-August, 2018",https://unsplash.com,0,c28ed8785147e6da91f8337c852e0eda,/kaggle/working/data/images/c28ed8785147e6da91f8337c852e0eda.jpg,7
9628,682,1024,ecc9973340adc991f0f9b3fa05015166.jpg,7,"March-August, 2018",https://unsplash.com,0,ecc9973340adc991f0f9b3fa05015166,/kaggle/working/data/images/ecc9973340adc991f0f9b3fa05015166.jpg,6
17666,682,1024,1abc78f5d4774fee9646701a9efd7562.jpg,1,"March-August, 2018",http://farm9.staticflickr.com/8479/8283107197_0927bc0aa9_n.jpg,1,1abc78f5d4774fee9646701a9efd7562,/kaggle/working/data/images/1abc78f5d4774fee9646701a9efd7562.jpg,8
19426,683,1024,8a63e46207099cfbc45d6db95e810774.jpg,4,"March-August, 2018",https://www.flickr.com/photos/westerncanadafashionweek/41753657361,0,8a63e46207099cfbc45d6db95e810774,/kaggle/working/data/images/8a63e46207099cfbc45d6db95e810774.jpg,8
15240,682,1024,3039207a00b5b0703390c78433d8d60f.jpg,4,"March-August, 2018",https://www.flickr.com/photos/westerncanadafashionweek/32909362173,0,3039207a00b5b0703390c78433d8d60f,/kaggle/working/data/images/3039207a00b5b0703390c78433d8d60f.jpg,9
18945,683,1024,626ff446472f7246508c5da977605f10.jpg,4,"March-August, 2018",https://www.flickr.com/photos/westerncanadafashionweek/29772167215,0,626ff446472f7246508c5da977605f10,/kaggle/working/data/images/626ff446472f7246508c5da977605f10.jpg,8
18705,633,1024,661a7c0626167ccb48991239e6641244.jpg,4,"March-August, 2018",https://www.flickr.com/photos/westerncanadafashionweek/29618666810,0,661a7c0626167ccb48991239e6641244,/kaggle/working/data/images/661a7c0626167ccb48991239e6641244.jpg,8
11356,1024,825,c1fb4d195b61883f49b17ac1712d2cc0.jpg,1,"March-August, 2018",http://farm6.staticflickr.com/5583/31064636781_a3804372d3_n.jpg,1,c1fb4d195b61883f49b17ac1712d2cc0,/kaggle/working/data/images/c1fb4d195b61883f49b17ac1712d2cc0.jpg,4
11218,680,1024,8e712288817c57cfc26aae92312c5a6b.jpg,5,"March-August, 2018",http://farm8.staticflickr.com/7370/11560669154_d9576e26f3_n.jpg,1,8e712288817c57cfc26aae92312c5a6b,/kaggle/working/data/images/8e712288817c57cfc26aae92312c5a6b.jpg,12
19428,680,1024,82f951bbd159f0ca71112cbb98d69e85.jpg,5,"March-August, 2018",http://farm8.staticflickr.com/7404/10021723854_f2b671c159_n.jpg,1,82f951bbd159f0ca71112cbb98d69e85,/kaggle/working/data/images/82f951bbd159f0ca71112cbb98d69e85.jpg,7
9452,680,1024,9dee1d78a7179bb2ae52909b36eabee3.jpg,5,"March-August, 2018",http://farm3.staticflickr.com/2909/13724010673_f7a4d16d07_n.jpg,1,9dee1d78a7179bb2ae52909b36eabee3,/kaggle/working/data/images/9dee1d78a7179bb2ae52909b36eabee3.jpg,5
8978,1024,680,435f7af76ce86ce5198bda11080c9ccf.jpg,5,"March-August, 2018",http://farm8.staticflickr.com/7577/15720634509_7437cd577d_n.jpg,1,435f7af76ce86ce5198bda11080c9ccf,/kaggle/working/data/images/435f7af76ce86ce5198bda11080c9ccf.jpg,5
19285,680,1024,c3c2e7a933070a01664ab30462b4c351.jpg,5,"March-August, 2018",http://farm8.staticflickr.com/7623/16846087136_0f618d3899_n.jpg,1,c3c2e7a933070a01664ab30462b4c351,/kaggle/working/data/images/c3c2e7a933070a01664ab30462b4c351.jpg,5
9665,1024,683,769380d0d848e2fb8a06d017a1f8fb04.jpg,4,"March-August, 2018",http://farm6.staticflickr.com/5563/30904151665_41aba07ab2_n.jpg,1,769380d0d848e2fb8a06d017a1f8fb04,/kaggle/working/data/images/769380d0d848e2fb8a06d017a1f8fb04.jpg,3
18404,1024,682,60ef701cf3a242dd28fccb5e98a5198a.jpg,0,"March-August, 2018",http://farm6.staticflickr.com/5504/30172615554_eec2abc8b7_n.jpg,1,60ef701cf3a242dd28fccb5e98a5198a,/kaggle/working/data/images/60ef701cf3a242dd28fccb5e98a5198a.jpg,2
8964,682,1024,49150cd9e9a044acbe3c05bbe75d4557.jpg,0,"March-August, 2018",http://farm3.staticflickr.com/2898/33442607562_ac065f1640_n.jpg,1,49150cd9e9a044acbe3c05bbe75d4557,/kaggle/working/data/images/49150cd9e9a044acbe3c05bbe75d4557.jpg,7
15099,1024,668,942b54e6f452307fb019e62432bad3b3.jpg,4,"March-August, 2018",http://farm5.staticflickr.com/4220/34797929422_f7bc2dc028_n.jpg,1,942b54e6f452307fb019e62432bad3b3,/kaggle/working/data/images/942b54e6f452307fb019e62432bad3b3.jpg,6
